"","Family","Label","Year","Site","RelativeAbundance"
"440","Rhodobacteraceae","TOURIST2-3PM2021","2021","Porto_Marie",0.0855000000000001
"441","Rhodobacteraceae","TOURIST3-3GK2021","2021","Grote_Knip",0.0785000000000001
"442","Rhodobacteraceae","TOURIST3-3PM2020","2020","Porto_Marie",0.2485
"443","Rhodobacteraceae","TOURIST3-3PM2023","2023","Porto_Marie",0.0912500000000001
"444","Rhodobacteraceae","URBAN1-3HB2021","2021","Holiday_Beach",0.3255
"445","Rhodobacteraceae","URBAN2-1CE2021","2021","Coral_Estate",0.0655000000000001
"446","Rhodobacteraceae","URBAN2-2CE2021","2021","Coral_Estate",0.0955000000000001
"447","Rhodobacteraceae","URBAN2-2CE2023","2023","Coral_Estate",0.092
"448","Rhodobacteraceae","URBAN2-3CE2020","2020","Coral_Estate",0.0820000000000001
"449","Rhodobacteraceae","URBAN3-1HB2020","2020","Holiday_Beach",0.0885
"450","Rhodobacteraceae","URBAN3-1HB2022","2022","Holiday_Beach",0.1655
"451","Rhodobacteraceae","URBAN3-1HB2023","2023","Holiday_Beach",0.20175
"452","Rhodobacteraceae","URBAN3-2CA2021","2021","Cas_Abou",0.0505
"453","Rhodobacteraceae","URBAN3-2HB2020","2020","Holiday_Beach",0.066
"454","Rhodobacteraceae","URBAN3-2HB2022","2022","Holiday_Beach",0.1125
"455","Rhodobacteraceae","URBAN3-3CA2020","2020","Cas_Abou",0.159
"456","Rhodobacteraceae","URBAN3-3CA2021","2021","Cas_Abou",0.0625000000000001
"457","Rhodobacteraceae","URBAN3-3CA2022","2022","Cas_Abou",0.0585000000000001
"458","Rhodobacteraceae","URBAN3-3HB2020","2020","Holiday_Beach",0.2485
"459","Rhodobacteraceae","URBAN3-3HB2022","2022","Holiday_Beach",0.21475
"460","SAR86_clade_fa","CONTROL1-1DB2021","2021","Directors_Bay",0.0545000000000001
"461","SAR86_clade_fa","CONTROL1-1DB2022","2022","Directors_Bay",0.10675
"462","SAR86_clade_fa","CONTROL1-1DB2023","2023","Directors_Bay",0.101
"463","SAR86_clade_fa","CONTROL1-2DB2021","2021","Directors_Bay",0.0620000000000001
"464","SAR86_clade_fa","CONTROL1-2DB2022","2022","Directors_Bay",0.1205
"465","SAR86_clade_fa","CONTROL1-2DB2023","2023","Directors_Bay",0.10675
"466","SAR86_clade_fa","CONTROL1-3DB2021","2021","Directors_Bay",0.0565000000000001
"467","SAR86_clade_fa","CONTROL1-3DB2022","2022","Directors_Bay",0.115
"468","SAR86_clade_fa","CONTROL1-3DB2023","2023","Directors_Bay",0.0960000000000001
"469","SAR86_clade_fa","CONTROL2-1JK2021","2021","Jan_Kok",0.0575000000000001
"470","SAR86_clade_fa","CONTROL2-1PJ2022","2022","Playa_Jeremy",0.0955000000000001
"471","SAR86_clade_fa","CONTROL2-1PJ2023","2023","Playa_Jeremy",0.0917500000000001
"472","SAR86_clade_fa","CONTROL2-2PJ2022","2022","Playa_Jeremy",0.111666666666667
"473","SAR86_clade_fa","CONTROL2-2PJ2023","2023","Playa_Jeremy",0.0940000000000001
"474","SAR86_clade_fa","CONTROL2-3JK2021","2021","Jan_Kok",0.0725000000000001
"475","SAR86_clade_fa","CONTROL2-3PJ2022","2022","Playa_Jeremy",0.0930000000000001
"476","SAR86_clade_fa","CONTROL2-3PJ2023","2023","Playa_Jeremy",0.0767500000000001
"477","SAR86_clade_fa","CONTROL3-1PJ2021","2021","Playa_Jeremy",0.0820000000000001
"478","SAR86_clade_fa","CONTROL3-2PJ2021","2021","Playa_Jeremy",0.0725000000000001
"479","SAR86_clade_fa","CONTROL3-3PJ2021","2021","Playa_Jeremy",0.0765000000000001
"480","SAR86_clade_fa","TOURIST1-1GK2022","2022","Grote_Knip",0.12225
"481","SAR86_clade_fa","TOURIST1-1GK2023","2023","Grote_Knip",0.0645000000000001
"482","SAR86_clade_fa","TOURIST1-2GK2022","2022","Grote_Knip",0.0847500000000001
"483","SAR86_clade_fa","TOURIST1-2GK2023","2023","Grote_Knip",0.0952500000000001
"484","SAR86_clade_fa","TOURIST1-3GK2022","2022","Grote_Knip",0.0912500000000001
"485","SAR86_clade_fa","TOURIST1-3GK2023","2023","Grote_Knip",0.05925
"486","SAR86_clade_fa","TOURIST2-1PM2021","2021","Porto_Marie",0.0735000000000001
"487","SAR86_clade_fa","TOURIST2-2PM2021","2021","Porto_Marie",0.0740000000000001
"488","SAR86_clade_fa","TOURIST3-1GK2021","2021","Grote_Knip",0.0635000000000001
"489","SAR86_clade_fa","TOURIST3-1PM2022","2022","Porto_Marie",0.0822500000000001
"490","SAR86_clade_fa","TOURIST3-1PM2023","2023","Porto_Marie",0.0567500000000001
"491","SAR86_clade_fa","TOURIST3-2GK2021","2021","Grote_Knip",0.0650000000000001
"492","SAR86_clade_fa","TOURIST3-2PM2022","2022","Porto_Marie",0.10575
"493","SAR86_clade_fa","TOURIST3-2PM2023","2023","Porto_Marie",0.0635
"494","SAR86_clade_fa","TOURIST3-3GK2021","2021","Grote_Knip",0.0640000000000001
"495","SAR86_clade_fa","TOURIST3-3PM2022","2022","Porto_Marie",0.103
"496","SAR86_clade_fa","TOURIST3-3PM2023","2023","Porto_Marie",0.05925
"497","SAR86_clade_fa","URBAN1-1HB2021","2021","Holiday_Beach",0.0685000000000001
"498","SAR86_clade_fa","URBAN1-2HB2021","2021","Holiday_Beach",0.0700000000000001
"499","SAR86_clade_fa","URBAN2-1CE2021","2021","Coral_Estate",0.0710000000000001
"500","SAR86_clade_fa","URBAN2-1CE2022","2022","Coral_Estate",0.0925000000000001
"501","SAR86_clade_fa","URBAN2-2CE2022","2022","Coral_Estate",0.0797500000000001
"502","SAR86_clade_fa","URBAN2-2CE2023","2023","Coral_Estate",0.07825
"503","SAR86_clade_fa","URBAN2-3CE2021","2021","Coral_Estate",0.0940000000000001
"504","SAR86_clade_fa","URBAN2-3CE2022","2022","Coral_Estate",0.10675
"505","SAR86_clade_fa","URBAN2-3CE2023","2023","Coral_Estate",0.0917500000000002
"506","SAR86_clade_fa","URBAN3-1CA2021","2021","Cas_Abou",0.0730000000000001
"507","SAR86_clade_fa","URBAN3-1CA2022","2022","Cas_Abou",0.10025
"508","SAR86_clade_fa","URBAN3-1CA2023","2023","Cas_Abou",0.0685000000000001
"509","SAR86_clade_fa","URBAN3-1HB2022","2022","Holiday_Beach",0.0695000000000001
"510","SAR86_clade_fa","URBAN3-2CA2021","2021","Cas_Abou",0.0820000000000001
"511","SAR86_clade_fa","URBAN3-2CA2022","2022","Cas_Abou",0.11225
"512","SAR86_clade_fa","URBAN3-2CA2023","2023","Cas_Abou",0.0872500000000001
"513","SAR86_clade_fa","URBAN3-2HB2022","2022","Holiday_Beach",0.0850000000000001
"514","SAR86_clade_fa","URBAN3-2HB2023","2023","Holiday_Beach",0.10325
"515","SAR86_clade_fa","URBAN3-3CA2021","2021","Cas_Abou",0.0525000000000001
"516","SAR86_clade_fa","URBAN3-3CA2022","2022","Cas_Abou",0.0927500000000001
"517","SAR86_clade_fa","URBAN3-3CA2023","2023","Cas_Abou",0.071
"518","SAR86_clade_fa","URBAN3-3HB2023","2023","Holiday_Beach",0.0910000000000002
"519","Saprospiraceae","URBAN1-3HB2021","2021","Holiday_Beach",0.0945
"520","Sphingomonadaceae","CONTROL2-2JK2021","2021","Jan_Kok",0.0530000000000001
"521","Vibrionaceae","CONTROL1-1DB2020","2020","Directors_Bay",0.182
"522","Vibrionaceae","CONTROL1-1DB2023","2023","Directors_Bay",0.10825
"523","Vibrionaceae","CONTROL1-2DB2023","2023","Directors_Bay",0.0965
"524","Vibrionaceae","CONTROL1-3DB2020","2020","Directors_Bay",0.135
"525","Vibrionaceae","CONTROL2-1PJ2023","2023","Playa_Jeremy",0.0890000000000001
"526","Vibrionaceae","CONTROL2-3PJ2023","2023","Playa_Jeremy",0.112
"527","Vibrionaceae","TOURIST1-1GK2020","2020","Grote_Knip",0.0930000000000001
"528","Vibrionaceae","TOURIST1-1GK2023","2023","Grote_Knip",0.13325
"529","Vibrionaceae","TOURIST1-2GK2023","2023","Grote_Knip",0.1125
"530","Vibrionaceae","TOURIST1-3GK2020","2020","Grote_Knip",0.0550000000000001
"531","Vibrionaceae","TOURIST2-1MB2020","2020","Mambo_Beach",0.228
"532","Vibrionaceae","TOURIST2-2MB2020","2020","Mambo_Beach",0.3745
"533","Vibrionaceae","TOURIST2-3MB2020","2020","Mambo_Beach",0.138
"534","Vibrionaceae","TOURIST2-3MB2023","2023","Mambo_Beach",0.0867500000000001
"535","Vibrionaceae","TOURIST3-1PM2020","2020","Porto_Marie",0.0515000000000001
"536","Vibrionaceae","TOURIST3-2PM2023","2023","Porto_Marie",0.135
"537","Vibrionaceae","TOURIST3-3PM2023","2023","Porto_Marie",0.0857500000000001
"538","Vibrionaceae","URBAN2-3CE2023","2023","Coral_Estate",0.11925
"539","Vibrionaceae","URBAN3-1CA2020","2020","Cas_Abou",0.0645
"540","Vibrionaceae","URBAN3-1CA2023","2023","Cas_Abou",0.1285
"541","Vibrionaceae","URBAN3-1HB2020","2020","Holiday_Beach",0.228
"542","Vibrionaceae","URBAN3-2CA2023","2023","Cas_Abou",0.146
"543","Vibrionaceae","URBAN3-2HB2020","2020","Holiday_Beach",0.077
"544","Vibrionaceae","URBAN3-2HB2023","2023","Holiday_Beach",0.1015
"545","Vibrionaceae","URBAN3-3HB2020","2020","Holiday_Beach",0.053
